"WORD";"FREQUENCY";"NOOFFILES";"TF";"IDF";"TFIDF";"FLAG"
"kamaraj";3.0;2.0;0.0;0.0;0.0;1.0
"anita";1.0;1.0;0.0;0.0;0.0;1.0
"bhugra";1.0;1.0;0.0;0.0;0.0;1.0
"kathak";1.0;1.0;0.0;0.0;0.0;1.0
"gokalpur";1.0;1.0;0.0;0.0;0.0;1.0
"mahila";1.0;1.0;0.0;0.0;0.0;1.0
"tambidurai";1.0;1.0;0.0;0.0;0.0;1.0
"mytholog";1.0;1.0;0.0;0.0;0.0;1.0
"imparte";1.0;1.0;0.0;0.0;0.0;1.0
"marathon";2.0;2.0;0.0;0.0;0.0;1.0
"data";6.0;4.0;0.0;0.0;0.0;1.0
"nilkant";1.0;1.0;0.0;0.0;0.0;1.0
"grey";3.0;3.0;0.0;0.0;0.0;1.0
"kashmiriyat";3.0;3.0;0.0;0.0;0.0;1.0
"etho";2.0;2.0;0.0;0.0;0.0;1.0
"grief";2.0;2.0;0.0;0.0;0.0;1.0
"livelihood";4.0;4.0;0.0;0.0;0.0;1.0
"tirathji";1.0;1.0;0.0;0.0;0.0;1.0
"dwivedi";20.0;5.0;0.0;0.0;0.0;1.0
"lokayukta";3.0;1.0;0.0;0.0;0.0;1.0
"gagrai";1.0;1.0;0.0;0.0;0.0;1.0
"khanyar";2.0;2.0;0.0;0.0;0.0;1.0
"retrograde";1.0;1.0;0.0;0.0;0.0;1.0
"silo";3.0;3.0;0.0;0.0;0.0;1.0
"ghonghat";1.0;1.0;0.0;0.0;0.0;1.0
"colombo";1.0;1.0;0.0;0.0;0.0;1.0
"cow";3.0;2.0;0.0;0.0;0.0;1.0
"addit";2.0;2.0;0.0;0.0;0.0;1.0
"mistake";7.0;7.0;0.0;0.0;0.0;1.0
"meenakshi";2.0;2.0;0.0;0.0;0.0;1.0
"amende";2.0;2.0;0.0;0.0;0.0;1.0
"bullet";14.0;9.0;0.0;0.0;0.0;1.0
"virendra";1.0;1.0;0.0;0.0;0.0;1.0
"politicke";2.0;1.0;0.0;0.0;0.0;1.0
"kashi";1.0;1.0;0.0;0.0;0.0;1.0
"budgam";6.0;5.0;0.0;0.0;0.0;1.0
"nizam";2.0;2.0;0.0;0.0;0.0;1.0
"hakim";2.0;2.0;0.0;0.0;0.0;1.0
"diploma";2.0;2.0;0.0;0.0;0.0;1.0
"sofi";4.0;2.0;0.0;0.0;0.0;1.0
"jail";19.0;14.0;0.0;0.0;0.0;1.0
"vice";35.0;33.0;0.0;0.0;0.0;1.0
"postgraduate";2.0;2.0;0.0;0.0;0.0;1.0
"sopore";5.0;3.0;0.0;0.0;0.0;1.0
"iqbal";4.0;1.0;0.0;0.0;0.0;1.0
"aamir";1.0;1.0;0.0;0.0;0.0;1.0
"sskm";2.0;1.0;0.0;0.0;0.0;1.0
"biman";1.0;1.0;0.0;0.0;0.0;1.0
"revolut";2.0;2.0;0.0;0.0;0.0;1.0
"go";3.0;3.0;0.0;0.0;0.0;1.0
"vidyapeeth";1.0;1.0;0.0;0.0;0.0;1.0
"rejectors";1.0;1.0;0.0;0.0;0.0;1.0
"watchdog";1.0;1.0;0.0;0.0;0.0;1.0
"tushar";1.0;1.0;0.0;0.0;0.0;1.0
"boss";1.0;1.0;0.0;0.0;0.0;1.0
"ship";4.0;3.0;0.0;0.0;0.0;1.0
"air";2.0;2.0;0.0;0.0;0.0;1.0
"disaffect";1.0;1.0;0.0;0.0;0.0;1.0
"mallikarjun";14.0;14.0;0.0;0.0;0.0;1.0
"supply";17.0;13.0;0.0;0.0;0.0;1.0
"communal";4.0;2.0;0.0;0.0;0.0;1.0
"non";18.0;14.0;0.0;0.0;0.0;1.0
"coordinate";8.0;8.0;0.0;0.0;0.0;1.0
"masjid";5.0;4.0;0.0;0.0;0.0;1.0
"refrain";1.0;1.0;0.0;0.0;0.0;1.0
"might";1.0;1.0;0.0;0.0;0.0;1.0
"makeweight";1.0;1.0;0.0;0.0;0.0;1.0
"parte";3.0;3.0;0.0;0.0;0.0;1.0
"hazaribagh";4.0;4.0;0.0;0.0;0.0;1.0
"islamabad";1.0;1.0;0.0;0.0;0.0;1.0
"paul";3.0;1.0;0.0;0.0;0.0;1.0
"armour";1.0;1.0;0.0;0.0;0.0;1.0
"mode";1.0;1.0;0.0;0.0;0.0;1.0
"attitude";1.0;1.0;0.0;0.0;0.0;1.0
"inch";1.0;1.0;0.0;0.0;0.0;1.0
"fore";1.0;1.0;0.0;0.0;0.0;1.0
"gel";1.0;1.0;0.0;0.0;0.0;1.0
"chink";1.0;1.0;0.0;0.0;0.0;1.0
"hatia";10.0;4.0;0.0;0.0;0.0;1.0
"amirakadal";1.0;1.0;0.0;0.0;0.0;1.0
"coal";37.0;12.0;0.0;0.0;0.0;1.0
"deposit";8.0;6.0;0.0;0.0;0.0;1.0
"yr";2.0;2.0;0.0;0.0;0.0;1.0
"achche";2.0;2.0;0.0;0.0;0.0;1.0
"processe";6.0;6.0;0.0;0.0;0.0;1.0
"haramzaadon";8.0;8.0;0.0;0.0;0.0;1.0
"kahan";1.0;1.0;0.0;0.0;0.0;1.0
"nod";7.0;6.0;0.0;0.0;0.0;1.0
"lodh";2.0;1.0;0.0;0.0;0.0;1.0
"panchanan";1.0;1.0;0.0;0.0;0.0;1.0
"ag";1.0;1.0;0.0;0.0;0.0;1.0
"complexe";2.0;2.0;0.0;0.0;0.0;1.0
"swarajya";1.0;1.0;0.0;0.0;0.0;1.0
"dissenter";1.0;1.0;0.0;0.0;0.0;1.0
"veneer";1.0;1.0;0.0;0.0;0.0;1.0
"fishe";1.0;1.0;0.0;0.0;0.0;1.0
"arabian";1.0;1.0;0.0;0.0;0.0;1.0
"crew";1.0;1.0;0.0;0.0;0.0;1.0
"srinjoy";2.0;1.0;0.0;0.0;0.0;1.0
"commitee";1.0;1.0;0.0;0.0;0.0;1.0
"avatar";1.0;1.0;0.0;0.0;0.0;1.0
"bogey";1.0;1.0;0.0;0.0;0.0;1.0
"hallmark";1.0;1.0;0.0;0.0;0.0;1.0
"tracker";1.0;1.0;0.0;0.0;0.0;1.0
"kph";1.0;1.0;0.0;0.0;0.0;1.0
"effici";1.0;1.0;0.0;0.0;0.0;1.0
"airwave";1.0;1.0;0.0;0.0;0.0;1.0
"momentum";1.0;1.0;0.0;0.0;0.0;1.0
"silli";11.0;6.0;0.0;0.0;0.0;1.0
"mahato";5.0;3.0;0.0;0.0;0.0;1.0
"petrol";12.0;5.0;0.0;0.0;0.0;1.0
"inspect";2.0;2.0;0.0;0.0;0.0;1.0
"mahto";3.0;3.0;0.0;0.0;0.0;1.0
"symbol";11.0;6.0;0.0;0.0;0.0;1.0
"com";2.0;1.0;0.0;0.0;0.0;1.0
"forum";3.0;3.0;0.0;0.0;0.0;1.0
"gown";2.0;2.0;0.0;0.0;0.0;1.0
"kashmir";337.0;121.0;0.0;0.0;0.0;1.0
"rally";150.0;72.0;0.0;0.0;0.0;1.0
"minister";1230.0;377.0;0.0;0.0;0.0;1.0
"bjp";1481.0;324.0;0.0;0.0;0.0;1.0
"december";90.0;63.0;0.0;0.0;0.0;1.0
"elect";517.0;229.0;0.0;0.0;0.0;1.0
"valley";98.0;45.0;0.0;0.0;0.0;1.0
"people";543.0;235.0;0.0;0.0;0.0;1.0
"modi";679.0;217.0;0.0;0.0;0.0;1.0
"leader";688.0;299.0;0.0;0.0;0.0;1.0
"party";1411.0;360.0;0.0;0.0;0.0;1.0
"prime";296.0;165.0;0.0;0.0;0.0;1.0
"narendra";286.0;203.0;0.0;0.0;0.0;1.0
"state";803.0;274.0;0.0;0.0;0.0;1.0
"srinagar";61.0;33.0;0.0;0.0;0.0;1.0
"thakur";21.0;12.0;0.0;0.0;0.0;1.0
"assemble";359.0;195.0;0.0;0.0;0.0;1.0
"venue";16.0;12.0;0.0;0.0;0.0;1.0
"union";129.0;101.0;0.0;0.0;0.0;1.0
"part";89.0;76.0;0.0;0.0;0.0;1.0
"phase";84.0;40.0;0.0;0.0;0.0;1.0
"singh";281.0;122.0;0.0;0.0;0.0;1.0
"campaign";102.0;67.0;0.0;0.0;0.0;1.0
"media";77.0;52.0;0.0;0.0;0.0;1.0
"pm";160.0;99.0;0.0;0.0;0.0;1.0
"arun";50.0;34.0;0.0;0.0;0.0;1.0
"rajnath";26.0;17.0;0.0;0.0;0.0;1.0
"permiss";19.0;13.0;0.0;0.0;0.0;1.0
"polle";122.0;28.0;0.0;0.0;0.0;1.0
"past";17.0;17.0;0.0;0.0;0.0;1.0
"district";106.0;62.0;0.0;0.0;0.0;1.0
"home";89.0;67.0;0.0;0.0;0.0;1.0
"secretary";120.0;87.0;0.0;0.0;0.0;1.0
"official";61.0;39.0;0.0;0.0;0.0;1.0
"stalwart";2.0;2.0;0.0;0.0;0.0;1.0
"voter";105.0;56.0;0.0;0.0;0.0;1.0
"express";72.0;64.0;0.0;0.0;0.0;1.0
"this";32.0;29.0;0.0;0.0;0.0;1.0
"arrange";23.0;15.0;0.0;0.0;0.0;1.0
"govern";1046.0;315.0;0.0;0.0;0.0;1.0
"stadium";21.0;15.0;0.0;0.0;0.0;1.0
"response";14.0;12.0;0.0;0.0;0.0;1.0
"the";145.0;113.0;0.0;0.0;0.0;1.0
"thousand";12.0;11.0;0.0;0.0;0.0;1.0
"national";130.0;87.0;0.0;0.0;0.0;1.0
"source";158.0;89.0;0.0;0.0;0.0;1.0
"visit";45.0;30.0;0.0;0.0;0.0;1.0
"jaitley";71.0;30.0;0.0;0.0;0.0;1.0
"saturday";66.0;51.0;0.0;0.0;0.0;1.0
"altaf";12.0;9.0;0.0;0.0;0.0;1.0
"sher";7.0;7.0;0.0;0.0;0.0;1.0
"plan";74.0;44.0;0.0;0.0;0.0;1.0
"incharge";4.0;4.0;0.0;0.0;0.0;1.0
"lal";23.0;17.0;0.0;0.0;0.0;1.0
"november";45.0;35.0;0.0;0.0;0.0;1.0
"campaigne";13.0;11.0;0.0;0.0;0.0;1.0
"unit";44.0;38.0;0.0;0.0;0.0;1.0
"ram";84.0;62.0;0.0;0.0;0.0;1.0
"kishtwar";12.0;8.0;0.0;0.0;0.0;1.0
"finance";49.0;35.0;0.0;0.0;0.0;1.0
"charge";62.0;51.0;0.0;0.0;0.0;1.0
"cricket";7.0;7.0;0.0;0.0;0.0;1.0
"jaitely";1.0;1.0;0.0;0.0;0.0;1.0
"insurance";38.0;10.0;0.0;0.0;0.0;1.0
"sena";194.0;32.0;0.0;0.0;0.0;1.0
"sector";56.0;26.0;0.0;0.0;0.0;1.0
"bill";105.0;31.0;0.0;0.0;0.0;1.0
"shiv";94.0;30.0;0.0;0.0;0.0;1.0
"sawant";11.0;4.0;0.0;0.0;0.0;1.0
"decis";158.0;89.0;0.0;0.0;0.0;1.0
"parliament";86.0;59.0;0.0;0.0;0.0;1.0
"cent";207.0;54.0;0.0;0.0;0.0;1.0
"protest";81.0;42.0;0.0;0.0;0.0;1.0
"employee";8.0;5.0;0.0;0.0;0.0;1.0
"amend";40.0;22.0;0.0;0.0;0.0;1.0
"sabha";295.0;154.0;0.0;0.0;0.0;1.0
"centre";139.0;85.0;0.0;0.0;0.0;1.0
"reservate";29.0;12.0;0.0;0.0;0.0;1.0
"support";136.0;84.0;0.0;0.0;0.0;1.0
"player";9.0;7.0;0.0;0.0;0.0;1.0
"organisate";45.0;31.0;0.0;0.0;0.0;1.0
"cost";14.0;14.0;0.0;0.0;0.0;1.0
"case";113.0;72.0;0.0;0.0;0.0;1.0
"one";27.0;25.0;0.0;0.0;0.0;1.0
"uddhav";28.0;12.0;0.0;0.0;0.0;1.0
"message";21.0;17.0;0.0;0.0;0.0;1.0
"voice";19.0;17.0;0.0;0.0;0.0;1.0
"divis";16.0;12.0;0.0;0.0;0.0;1.0
"concern";25.0;21.0;0.0;0.0;0.0;1.0
"act";90.0;45.0;0.0;0.0;0.0;1.0
"matter";78.0;59.0;0.0;0.0;0.0;1.0
"reform";19.0;13.0;0.0;0.0;0.0;1.0
"object";10.0;10.0;0.0;0.0;0.0;1.0
"stake";8.0;7.0;0.0;0.0;0.0;1.0
"presid";250.0;164.0;0.0;0.0;0.0;1.0
"pressure";23.0;18.0;0.0;0.0;0.0;1.0
"welfare";21.0;17.0;0.0;0.0;0.0;1.0
"time";252.0;158.0;0.0;0.0;0.0;1.0
"split";10.0;9.0;0.0;0.0;0.0;1.0
"section";31.0;27.0;0.0;0.0;0.0;1.0
"ananth";3.0;3.0;0.0;0.0;0.0;1.0
"control";20.0;17.0;0.0;0.0;0.0;1.0
"insider";12.0;9.0;0.0;0.0;0.0;1.0
"mp";184.0;92.0;0.0;0.0;0.0;1.0
"telephone";4.0;4.0;0.0;0.0;0.0;1.0
"policy";69.0;42.0;0.0;0.0;0.0;1.0
"view";68.0;53.0;0.0;0.0;0.0;1.0
"stand";45.0;28.0;0.0;0.0;0.0;1.0
"nda";89.0;48.0;0.0;0.0;0.0;1.0
"maharashtra";99.0;44.0;0.0;0.0;0.0;1.0
"name";92.0;54.0;0.0;0.0;0.0;1.0
"fdi";14.0;8.0;0.0;0.0;0.0;1.0
"monday";102.0;80.0;0.0;0.0;0.0;1.0
"right";76.0;50.0;0.0;0.0;0.0;1.0
"raut";3.0;3.0;0.0;0.0;0.0;1.0
"session";67.0;38.0;0.0;0.0;0.0;1.0
"differ";38.0;28.0;0.0;0.0;0.0;1.0
"functione";11.0;11.0;0.0;0.0;0.0;1.0
"interestingly";2.0;2.0;0.0;0.0;0.0;1.0
"reason";34.0;28.0;0.0;0.0;0.0;1.0
"field";9.0;7.0;0.0;0.0;0.0;1.0
"arvind";53.0;34.0;0.0;0.0;0.0;1.0
"farmer";50.0;19.0;0.0;0.0;0.0;1.0
"lok";211.0;126.0;0.0;0.0;0.0;1.0
"day";227.0;160.0;0.0;0.0;0.0;1.0
"sanjay";13.0;13.0;0.0;0.0;0.0;1.0
"level";37.0;28.0;0.0;0.0;0.0;1.0
"limite";2.0;2.0;0.0;0.0;0.0;1.0
"interest";55.0;36.0;0.0;0.0;0.0;1.0
"heavy";3.0;3.0;0.0;0.0;0.0;1.0
"industry";21.0;12.0;0.0;0.0;0.0;1.0
"rajya";94.0;58.0;0.0;0.0;0.0;1.0
"competit";3.0;3.0;0.0;0.0;0.0;1.0
"thackeray";53.0;14.0;0.0;0.0;0.0;1.0
"gite";3.0;1.0;0.0;0.0;0.0;1.0
"nigam";1.0;1.0;0.0;0.0;0.0;1.0
"airline";1.0;1.0;0.0;0.0;0.0;1.0
"mahanagar";1.0;1.0;0.0;0.0;0.0;1.0
"playe";1.0;1.0;0.0;0.0;0.0;1.0
"percentage";6.0;6.0;0.0;0.0;0.0;1.0
"m";75.0;49.0;0.0;0.0;0.0;1.0
"vailoo";1.0;1.0;0.0;0.0;0.0;1.0
"destruct";1.0;1.0;0.0;0.0;0.0;1.0
"audience";15.0;13.0;0.0;0.0;0.0;1.0
"meete";231.0;119.0;0.0;0.0;0.0;1.0
"outlay";4.0;4.0;0.0;0.0;0.0;1.0
"accid";4.0;4.0;0.0;0.0;0.0;1.0
"rao";12.0;5.0;0.0;0.0;0.0;1.0
"may";21.0;18.0;0.0;0.0;0.0;1.0
"system";32.0;23.0;0.0;0.0;0.0;1.0
"town";14.0;13.0;0.0;0.0;0.0;1.0
"end";36.0;35.0;0.0;0.0;0.0;1.0
"top";8.0;7.0;0.0;0.0;0.0;1.0
"rajiv";16.0;10.0;0.0;0.0;0.0;1.0
"war";8.0;8.0;0.0;0.0;0.0;1.0
"lane";3.0;3.0;0.0;0.0;0.0;1.0
"direct";23.0;20.0;0.0;0.0;0.0;1.0
"action";72.0;45.0;0.0;0.0;0.0;1.0
"mlas";116.0;57.0;0.0;0.0;0.0;1.0
"ring";6.0;5.0;0.0;0.0;0.0;1.0
"mahatma";15.0;7.0;0.0;0.0;0.0;1.0
"boost";7.0;7.0;0.0;0.0;0.0;1.0
"engineere";3.0;3.0;0.0;0.0;0.0;1.0
"monsoon";2.0;2.0;0.0;0.0;0.0;1.0
"dirt";6.0;3.0;0.0;0.0;0.0;1.0
"krishna";15.0;10.0;0.0;0.0;0.0;1.0
"citizen";10.0;10.0;0.0;0.0;0.0;1.0
"karimnagar";2.0;1.0;0.0;0.0;0.0;1.0
"expressway";2.0;1.0;0.0;0.0;0.0;1.0
"align";1.0;1.0;0.0;0.0;0.0;1.0
"depot";1.0;1.0;0.0;0.0;0.0;1.0
"ramagundam";1.0;1.0;0.0;0.0;0.0;1.0
"overbridges";1.0;1.0;0.0;0.0;0.0;1.0
"mishap";1.0;1.0;0.0;0.0;0.0;1.0
"kcr";1.0;1.0;0.0;0.0;0.0;1.0
"gajwale";1.0;1.0;0.0;0.0;0.0;1.0
"underpass";1.0;1.0;0.0;0.0;0.0;1.0
"foote";1.0;1.0;0.0;0.0;0.0;1.0
"rahadhari";1.0;1.0;0.0;0.0;0.0;1.0
"warangal";1.0;1.0;0.0;0.0;0.0;1.0
"chandrasekhara";1.0;1.0;0.0;0.0;0.0;1.0
"godavari";1.0;1.0;0.0;0.0;0.0;1.0
"anvil";1.0;1.0;0.0;0.0;0.0;1.0
"chart";1.0;1.0;0.0;0.0;0.0;1.0
"laning";1.0;1.0;0.0;0.0;0.0;1.0
"gravel";1.0;1.0;0.0;0.0;0.0;1.0
"congest";1.0;1.0;0.0;0.0;0.0;1.0
"khammam";1.0;1.0;0.0;0.0;0.0;1.0
"nizamabad";1.0;1.0;0.0;0.0;0.0;1.0
"slum";4.0;2.0;0.0;0.0;0.0;1.0
"bokaro";4.0;3.0;0.0;0.0;0.0;1.0
"shanker";2.0;1.0;0.0;0.0;0.0;1.0
"mess";2.0;2.0;0.0;0.0;0.0;1.0
"sreerampur";2.0;2.0;0.0;0.0;0.0;1.0
"cancellate";1.0;1.0;0.0;0.0;0.0;1.0
"bloc";1.0;1.0;0.0;0.0;0.0;1.0
"parkash";1.0;1.0;0.0;0.0;0.0;1.0
"muslimeen";1.0;1.0;0.0;0.0;0.0;1.0
"nagaland";9.0;3.0;0.0;0.0;0.0;1.0
"naga";5.0;3.0;0.0;0.0;0.0;1.0
"festival";3.0;2.0;0.0;0.0;0.0;1.0
"statehood";5.0;3.0;0.0;0.0;0.0;1.0
"kohima";3.0;2.0;0.0;0.0;0.0;1.0
"gulabgarh";2.0;2.0;0.0;0.0;0.0;1.0
"ramnagar";3.0;3.0;0.0;0.0;0.0;1.0
"handwara";5.0;5.0;0.0;0.0;0.0;1.0
"noorabad";2.0;2.0;0.0;0.0;0.0;1.0
"sajjad";7.0;6.0;0.0;0.0;0.0;1.0
"tarigami";4.0;4.0;0.0;0.0;0.0;1.0
"verdict";33.0;25.0;0.0;0.0;0.0;1.0
"atmosphere";9.0;9.0;0.0;0.0;0.0;1.0
"kargil";10.0;4.0;0.0;0.0;0.0;1.0
"akhoon";4.0;2.0;0.0;0.0;0.0;1.0
"school";35.0;16.0;0.0;0.0;0.0;1.0
"shia";6.0;3.0;0.0;0.0;0.0;1.0
"haji";6.0;4.0;0.0;0.0;0.0;1.0
"contest";14.0;12.0;0.0;0.0;0.0;1.0
"imam";2.0;2.0;0.0;0.0;0.0;1.0
"council";70.0;24.0;0.0;0.0;0.0;1.0
"mufti";119.0;41.0;0.0;0.0;0.0;1.0
"sayeed";43.0;28.0;0.0;0.0;0.0;1.0
"august";11.0;10.0;0.0;0.0;0.0;1.0
"hill";3.0;3.0;0.0;0.0;0.0;1.0
"dr";10.0;10.0;0.0;0.0;0.0;1.0
"kitty";2.0;2.0;0.0;0.0;0.0;1.0
"aziz";2.0;2.0;0.0;0.0;0.0;1.0
"weight";3.0;3.0;0.0;0.0;0.0;1.0
"memorial";10.0;6.0;0.0;0.0;0.0;1.0
"hussain";27.0;16.0;0.0;0.0;0.0;1.0
"trust";15.0;10.0;0.0;0.0;0.0;1.0
"populate";15.0;13.0;0.0;0.0;0.0;1.0
"ali";9.0;8.0;0.0;0.0;0.0;1.0
"turn";29.0;20.0;0.0;0.0;0.0;1.0
"electorate";26.0;18.0;0.0;0.0;0.0;1.0
"route";9.0;8.0;0.0;0.0;0.0;1.0
"banke";2.0;2.0;0.0;0.0;0.0;1.0
"councillor";2.0;2.0;0.0;0.0;0.0;1.0
"muslim";60.0;31.0;0.0;0.0;0.0;1.0
"islamia";3.0;1.0;0.0;0.0;0.0;1.0
"inayat";2.0;1.0;0.0;0.0;0.0;1.0
"munshi";2.0;1.0;0.0;0.0;0.0;1.0
"karblaie";2.0;1.0;0.0;0.0;0.0;1.0
"habibullah";1.0;1.0;0.0;0.0;0.0;1.0
"asghar";1.0;1.0;0.0;0.0;0.0;1.0
"nissar";1.0;1.0;0.0;0.0;0.0;1.0
"eskardo";1.0;1.0;0.0;0.0;0.0;1.0
"ikmt";1.0;1.0;0.0;0.0;0.0;1.0
"kachoo";1.0;1.0;0.0;0.0;0.0;1.0
"khomeni";1.0;1.0;0.0;0.0;0.0;1.0
"qamar";1.0;1.0;0.0;0.0;0.0;1.0
"girinath";1.0;1.0;0.0;0.0;0.0;1.0
"harikrishn";1.0;1.0;0.0;0.0;0.0;1.0
"tripathi";1.0;1.0;0.0;0.0;0.0;1.0
"sahi";1.0;1.0;0.0;0.0;0.0;1.0
"tickoo";5.0;1.0;0.0;0.0;0.0;1.0
"bhawanathpur";1.0;1.0;0.0;0.0;0.0;1.0
"palamau";1.0;1.0;0.0;0.0;0.0;1.0
"sudha";1.0;1.0;0.0;0.0;0.0;1.0
"daltonganj";1.0;1.0;0.0;0.0;0.0;1.0
"shibir";1.0;1.0;0.0;0.0;0.0;1.0
"liberty";1.0;1.0;0.0;0.0;0.0;1.0
"wanderer";1.0;1.0;0.0;0.0;0.0;1.0
"blockage";1.0;1.0;0.0;0.0;0.0;1.0
"gandhigram";1.0;1.0;0.0;0.0;0.0;1.0
"ldf";3.0;2.0;0.0;0.0;0.0;1.0
"missionary";1.0;1.0;0.0;0.0;0.0;1.0
"athawale";2.0;1.0;0.0;0.0;0.0;1.0
"dg";2.0;2.0;0.0;0.0;0.0;1.0
"thekiranbedi";1.0;1.0;0.0;0.0;0.0;1.0
"pun";1.0;1.0;0.0;0.0;0.0;1.0
"barasat";1.0;1.0;0.0;0.0;0.0;1.0
"penchant";1.0;1.0;0.0;0.0;0.0;1.0
"spice";1.0;1.0;0.0;0.0;0.0;1.0
"eyeball";1.0;1.0;0.0;0.0;0.0;1.0
"swaraj";22.0;12.0;0.0;0.0;0.0;1.0
"mainstream";6.0;3.0;0.0;0.0;0.0;1.0
"mumbai";24.0;16.0;0.0;0.0;0.0;1.0
"influence";7.0;7.0;0.0;0.0;0.0;1.0
"khushboo";9.0;1.0;0.0;0.0;0.0;1.0
"actress";3.0;1.0;0.0;0.0;0.0;1.0
"stalin";3.0;1.0;0.0;0.0;0.0;1.0
"wasnik";3.0;1.0;0.0;0.0;0.0;1.0
"gnani";1.0;1.0;0.0;0.0;0.0;1.0
"evks";1.0;1.0;0.0;0.0;0.0;1.0
